ClID,sig200,M200,r200,N200,z,J,log10_J,k_best,mean_error,k_theory,log10_k_ratio
347.0,541.23,1.702e+14,0.885,65,0.0587,1.769e+73,73.25,1.000e-42,0.6810,1.901e-50,-49.72
348.0,517.73,1.698e+14,0.892,87,0.0318,1.701e+73,73.23,1.000e-42,0.7483,1.886e-50,-49.72
354.0,509.09,1.690e+14,0.885,53,0.0507,1.652e+73,73.22,1.000e-42,0.7804,1.900e-50,-49.72
357.0,552.30,1.679e+14,0.874,44,0.0849,1.757e+73,73.24,1.000e-42,0.6466,1.926e-50,-49.72
362.0,486.82,1.661e+14,0.874,33,0.0735,1.533e+73,73.19,1.000e-42,0.8580,1.925e-50,-49.72
365.0,508.89,1.654e+14,0.885,143,0.0298,1.615e+73,73.21,1.000e-42,0.7626,1.902e-50,-49.72
378.0,513.94,1.633e+14,0.858,31,0.1121,1.563e+73,73.19,1.000e-42,0.7613,1.961e-50,-49.71
382.0,569.43,1.616e+14,0.874,54,0.0439,1.744e+73,73.24,1.000e-42,0.5665,1.925e-50,-49.72
383.0,531.65,1.614e+14,0.871,41,0.0531,1.622e+73,73.21,1.000e-42,0.6799,1.931e-50,-49.71
387.0,507.97,1.609e+14,0.877,77,0.0293,1.555e+73,73.19,1.000e-42,0.7498,1.919e-50,-49.72
388.0,505.95,1.609e+14,0.872,39,0.0448,1.541e+73,73.19,1.000e-42,0.7608,1.928e-50,-49.71
392.0,541.74,1.604e+14,0.860,34,0.0865,1.621e+73,73.21,1.000e-42,0.6537,1.956e-50,-49.71
397.0,526.57,1.592e+14,0.858,31,0.0847,1.561e+73,73.19,1.000e-42,0.6966,1.960e-50,-49.71
401.0,521.70,1.586e+14,0.866,88,0.0528,1.554e+73,73.19,1.000e-42,0.7016,1.942e-50,-49.71
418.0,552.30,1.552e+14,0.861,39,0.0494,1.600e+73,73.20,1.000e-42,0.5949,1.954e-50,-49.71
422.0,481.29,1.543e+14,0.858,34,0.0518,1.384e+73,73.14,1.000e-42,0.8275,1.959e-50,-49.71
427.0,517.83,1.540e+14,0.853,44,0.0683,1.477e+73,73.17,1.000e-42,0.7019,1.971e-50,-49.71
435.0,478.91,1.523e+14,0.849,49,0.0721,1.344e+73,73.13,1.000e-42,0.8345,1.981e-50,-49.70
437.0,533.30,1.515e+14,0.850,34,0.0637,1.489e+73,73.17,1.000e-42,0.6421,1.979e-50,-49.70
446.0,424.73,1.494e+14,0.842,31,0.0771,1.160e+73,73.06,1.000e-42,1.0570,1.997e-50,-49.70
449.0,497.42,1.491e+14,0.854,55,0.0312,1.375e+73,73.14,1.000e-42,0.7426,1.969e-50,-49.71
450.0,464.12,1.491e+14,0.844,43,0.0690,1.267e+73,73.10,1.000e-42,0.8786,1.993e-50,-49.70
457.0,494.65,1.481e+14,0.831,54,0.1098,1.321e+73,73.12,1.000e-42,0.7706,2.024e-50,-49.69
460.0,461.55,1.468e+14,0.837,36,0.0787,1.230e+73,73.09,1.000e-42,0.8821,2.010e-50,-49.70
464.0,501.79,1.463e+14,0.845,34,0.0463,1.345e+73,73.13,1.000e-42,0.7203,1.991e-50,-49.70
465.0,505.97,1.462e+14,0.841,85,0.0605,1.349e+73,73.13,1.000e-42,0.7096,2.001e-50,-49.70
466.0,483.72,1.458e+14,0.832,35,0.0895,1.273e+73,73.10,1.000e-42,0.7950,2.021e-50,-49.69
467.0,528.06,1.453e+14,0.841,57,0.0544,1.400e+73,73.15,1.000e-42,0.6334,2.001e-50,-49.70
470.0,502.06,1.451e+14,0.840,32,0.0562,1.327e+73,73.12,1.000e-42,0.7174,2.003e-50,-49.70
478.0,514.71,1.436e+14,0.844,66,0.0286,1.354e+73,73.13,1.000e-42,0.6623,1.993e-50,-49.70
481.0,556.67,1.433e+14,0.831,39,0.0768,1.438e+73,73.16,1.000e-42,0.5477,2.025e-50,-49.69
483.0,487.76,1.431e+14,0.829,31,0.0836,1.255e+73,73.10,1.000e-42,0.7674,2.030e-50,-49.69
488.0,502.01,1.425e+14,0.833,45,0.0625,1.293e+73,73.11,1.000e-42,0.7089,2.019e-50,-49.69
496.0,493.68,1.415e+14,0.829,35,0.0722,1.256e+73,73.10,1.000e-42,0.7366,2.030e-50,-49.69
518.0,492.32,1.381e+14,0.835,84,0.0203,1.232e+73,73.09,1.000e-42,0.7131,2.014e-50,-49.70
523.0,459.87,1.372e+14,0.832,104,0.0276,1.139e+73,73.06,1.000e-42,0.8323,2.022e-50,-49.69
530.0,504.18,1.364e+14,0.824,48,0.0522,1.229e+73,73.09,1.000e-42,0.6741,2.042e-50,-49.69
538.0,470.78,1.357e+14,0.817,33,0.0723,1.132e+73,73.05,1.000e-42,0.7957,2.059e-50,-49.69
539.0,493.22,1.357e+14,0.807,32,0.1091,1.172e+73,73.07,1.000e-42,0.7242,2.084e-50,-49.68
541.0,541.64,1.351e+14,0.818,34,0.0632,1.300e+73,73.11,1.000e-42,0.5564,2.056e-50,-49.69
550.0,537.57,1.336e+14,0.814,42,0.0681,1.269e+73,73.10,1.000e-42,0.5635,2.067e-50,-49.68
551.0,497.58,1.336e+14,0.823,49,0.0340,1.187e+73,73.07,1.000e-42,0.6800,2.044e-50,-49.69
571.0,501.08,1.305e+14,0.813,57,0.0464,1.154e+73,73.06,1.000e-42,0.6584,2.069e-50,-49.68
577.0,469.65,1.295e+14,0.816,40,0.0282,1.076e+73,73.03,1.000e-42,0.7598,2.062e-50,-49.69
