galaxy_name,k_optimal,log10_k_optimal,mean_error_pct,J_new,log10_J_new,h_kpc,B_T,SB_disk_center
UGC05750,1e-45,-45.0,32.828437486864004,1.779251e+65,65.2502372185874,3.1665,,96.75
UGC05764,1.5815275867194815e-34,-33.8009232282468,31.36204913640504,6.877527e+62,62.83743230403126,0.8953,,84.03
UGC05829,3.0362321535810743e-36,-35.51766502488308,34.21972948147425,1.387596e+64,64.14226303923832,2.0661,,60.15
UGC05918,3.1756822197970207e-35,-34.49816296250864,30.42324599065237,1.392051e+63,63.143655146634345,1.744,,30.12
UGC05986,9.436462680481141e-37,-36.025190773312765,33.01917858293819,4.990058e+64,64.69810559350587,1.462,,1840.05
UGC05999,1.8284010560660826e-37,-36.737928536538504,34.08080193468074,3.519184e+65,65.54644197444973,3.2437,,62.06
UGC06399,4.448346991792328e-37,-36.351801343111475,33.03834620360836,2.878335e+64,64.45914133865709,2.1187,,301.18
UGC06446,1.1528660583771748e-35,-34.938221146726725,33.64060628628108,2.77486e+64,64.44324107655375,1.4313,,229.53
UGC06614,1e-45,-45.0,22.241538889925096,1.249251e+67,67.09664970575865,6.5951,0.5629,91.38
UGC06628,1e-45,-45.0,16.092479133070192,5.508687e+64,64.74104809674533,2.6632,,388.36
UGC06667,1.6095244597080476e-35,-34.79330241901843,44.64231154250838,1.063178e+64,64.02660598131179,5.2187,,678.63
UGC06786,2.9861476135637598e-37,-36.52488872769885,16.311037282095587,2.626968e+66,66.41945478252795,3.4368,0.1558,1088.5
UGC06787,1e-45,-45.0,21.863309007540895,3.712815e+66,66.56970330999083,4.4815,0.3098,1502.55
UGC06818,1e-45,-45.0,29.63366055245827,1.365199e+64,64.13519596148863,1.3572,,278.76
UGC06917,2.8185622008457716e-36,-35.549972376601815,22.175563340590408,1.646672e+65,65.21660710082351,2.3899,,415.75
UGC06923,1e-45,-45.0,20.39787307233824,2.567347e+64,64.40948457143752,1.3599,,939.36
UGC06930,1.210215027422582e-36,-35.917137458670005,24.763679990992205,4.280086e+65,65.63145249540341,2.8585,,715.2
UGC06973,1e-45,-45.0,38.147202271347794,1.97034e+66,66.29454117407178,1.0491,0.0446,13086.7
UGC06983,7.476530947507249e-36,-35.12629986467887,26.547349118996227,1.568942e+65,65.1956068890646,2.0832,,593.79
UGC07089,5.355840594549015e-38,-37.27117235733926,16.64995743323695,6.148135e+64,64.78874339511778,2.3153,,358.78
UGC07125,1.9533022537588883e-37,-36.70923054883556,22.16044445768783,1.268012e+65,65.10312336356868,2.5797,,229.53
UGC07151,6.1647580007804944e-37,-36.210083967079356,20.61687245173459,2.295342e+64,64.36084740344499,1.2795,,977.3
UGC07232,9.873712586099271e-36,-35.005519518810615,14.543400956764922,1.154848e+62,62.062524826561216,0.2559,,263.04
UGC07261,7.88208650833916e-36,-35.10335880292789,17.553322681973775,1.592197e+64,64.20199680129102,0.9631,,499.38
UGC07323,9.767989816805786e-38,-37.01019480181782,10.50148519986915,5.522649e+64,64.74214744188252,1.8767,,333.6
UGC07399,5.247044079908382e-35,-34.28008528732052,32.83306831026026,9.481595e+63,63.97688140078028,1.23,,801.0
UGC07524,6.960287861732263e-37,-36.15737279858245,35.88799125503277,7.042742e+64,64.84774177897467,3.1163,,14535.5
UGC07559,1e-45,-45.0,19.79073625518586,3.98339e+62,62.60025282876841,0.5908,,88.15
UGC07577,1e-45,-45.0,14.96998243217903,5.096098e+61,61.70723777106395,0.5704,,63.1
UGC07603,5.174677903574442e-35,-34.286116677572245,36.01994323980082,9.775412e+62,62.9901350704726,0.5288,,491.62
UGC07608,2.272761625157935e-36,-35.643446112144524,48.6599421221536,2.701686e+63,63.43163487229828,1.5221,,67.36
UGC07690,2.546821826068362e-35,-34.59400143692174,12.275861080333351,4.908594e+63,63.69095711218716,0.5132,,485.32
UGC07866,3.5306386466921784e-35,-34.452146729273,17.062139369230806,3.381542e+62,62.52911478589265,0.6238,,74.89
UGC08286,1.849674496484396e-35,-34.73290469149888,38.64653773585738,1.179422e+64,64.07166922450122,1.1321,,825.71
UGC08490,6.940243376050427e-35,-34.15862529971482,30.010517055858916,8.255931e+63,63.916766054626585,0.6748,,795.85
UGC08550,5.957213779419376e-35,-34.22495681461388,28.894139779306855,2.365045e+63,63.373839408526585,0.46,,324.21
UGC08699,1e-45,-45.0,17.326250374380813,2.125888e+66,66.32754038047737,3.0985,0.1338,4333.41
UGC08837,1e-45,-45.0,22.134213732976114,4.939029e+63,63.693641576172276,1.1724,,135.03
UGC09037,1e-45,-45.0,23.288962173403906,4.228689e+66,66.62620574602407,7.6093,,3127.74
UGC09133,1e-45,-45.0,21.747835418392246,2.779565e+67,67.44397683444986,6.9011,0.2022,2611.14
UGC09992,1.718693002292695e-35,-34.764801691269426,4.600899594550823,1.561676e+63,63.193590936066386,0.9153,,104.14
UGC10310,9.903678712328148e-37,-36.00420345714931,25.845333192672065,4.623025e+64,64.66492624198506,1.8512,,122.7
UGC11455,1e-45,-45.0,21.06877625775837,5.361745e+67,67.72930615546441,4.8063,,11924.22
UGC11557,1e-45,-45.0,80.01143784647992,3.093341e+65,65.49042779787428,2.1252,,589.43
UGC11820,1.0999938241491548e-37,-36.95860975315584,31.90620828752956,1.138749e+65,65.05642800860264,1.9938,,104.82
UGC11914,1e-45,-45.0,6.823326014393742,4.89711e+66,66.68993985934934,2.9963,0.2436,3168.33
UGC12506,1.8418412814278809e-37,-36.73474779735848,28.090247118636725,2.567288e+67,67.40947459083542,8.2785,,5390.51
UGC12632,3.758119008831728e-36,-35.42502947115924,36.12559853671699,3.684909e+64,64.56642676728711,2.3402,,87.26
UGC12732,2.308872193618717e-36,-35.63660010655548,37.07909021866536,1.315176e+65,65.11898387504188,1.9788,,223.68
UGCA281,1.5257783951622456e-34,-33.81650853895451,15.82308958809589,3.398677e+61,61.53130989250798,0.9902,,103.47
UGCA442,4.357128679945582e-36,-35.360799613769764,42.107872496553284,2.213415e+63,63.34506284877262,1.2126,,78.35
UGCA444,1.2366617891906277e-34,-33.90774905798745,32.293778855084916,1.000159e+62,62.000069047333504,0.8242,,1280.06
