galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
NGC3972,18.0,8.72,134.0,4.09904e+65,65.61268215634882,3.780179096876619e-37,-36.422487623722915,16.306878469661363,0.18682130891306278,18.68213089130628
NGC3992,23.7,46.02,237.0,4.075555e+67,67.61018675835821,3.0470667229573035e-37,-36.51611803573633,26.830885846530116,0.12157697505524613,12.157697505524613
NGC4010,18.0,10.47,122.0,3.994208e+65,65.6014306771847,1.2438513633239123e-37,-36.90523151349164,12.671251672854808,0.1617844620349401,16.17844620349401
NGC4013,18.0,31.01,170.0,4.325481e+66,66.63603440868653,2.5545466037174254e-37,-36.59268616988417,57.61448612851549,0.17848971571355243,17.848971571355243
NGC4051,18.0,12.19,153.0,4.198384e+66,66.62308215827072,1e-45,-45.0,14.957920566228491,0.1964871325505872,19.64871325505872
NGC4068,4.37,2.33,41.9,1.337719e+63,63.12636489552001,4.038463268495795e-36,-35.39378386285375,4.168036051389743,0.4043081514341867,40.43081514341867
NGC4085,18.0,6.2,136.0,6.163729e+65,65.78984353588807,1e-45,-45.0,31.311175301883416,0.38848772432436907,38.84877243243691
NGC4088,18.0,21.48,174.0,1.308757e+67,67.1168590175547,1e-45,-45.0,51.5838970063725,0.28450064213145543,28.45006421314554
NGC4100,18.0,22.76,159.0,2.237053e+66,66.34967627347297,7.2834521243777484e-37,-36.137662730135276,15.120908130815195,0.14406837320073504,14.406837320073503
NGC4138,18.0,18.58,150.0,1.188706e+66,66.07507445481541,1.01434382491906e-37,-36.993814810333014,4.127179344501266,0.16820677742413206,16.820677742413206
NGC4157,18.0,29.61,185.0,5.5557e+66,66.74473878640643,1e-45,-45.0,21.215507850778064,0.20689145829411892,20.689145829411892
NGC4183,18.0,21.02,113.0,3.636252e+65,65.56065397312447,2.2065000051384993e-36,-35.6562960672054,20.29534710600034,0.2679835697743892,26.79835697743892
NGC4214,2.87,5.63,80.6,3.262614e+63,63.513565695428625,9.252196611789513e-35,-34.033755146923035,8.660193044741963,0.2488066861651983,24.88066861651983
NGC4217,18.0,16.72,178.0,3.938952e+66,66.59538068853645,1e-45,-45.0,83.96287294925665,0.3932671361520976,39.326713615209755
NGC4389,18.0,5.32,110.0,5.413045e+65,65.73344163750497,1e-45,-45.0,79.8691147522644,0.9893533792593135,98.93533792593135
NGC4559,9.0,20.97,119.0,7.804077e+65,65.8923215457699,5.1420048204903555e-37,-36.288867520553644,22.531417534478198,0.2430427428327196,24.30427428327196
NGC5005,16.9,11.47,265.0,9.00931e+66,66.9546915307496,1e-45,-45.0,13.967581130523307,0.21456874040714713,21.456874040714712
NGC5033,15.7,44.59,196.0,5.106962e+66,66.70816262635923,1.7802397086848644e-36,-35.74952151614617,173.7161430942106,0.3077976246622411,30.77976246622411
NGC5055,9.9,54.59,172.0,9.981265e+66,66.99918558614753,1e-45,-45.0,1591.9702534486728,0.28762060832092196,28.762060832092196
NGC5371,39.7,46.24,213.0,8.164306e+67,67.91191927380261,1e-45,-45.0,126.97603463577798,0.13887501378759695,13.887501378759696
NGC5585,7.06,10.96,89.4,5.238037e+64,64.71916856183245,1e-45,-45.0,174.130414102233,0.2603310767153822,26.033107671538218
NGC5907,17.3,50.33,214.0,1.693895e+67,67.22888648608092,5.233146345718054e-37,-36.28123711998055,128.74009771158413,0.14874844541109924,14.874844541109924
NGC5985,39.7,34.72,285.0,2.574638e+67,67.41071617487069,5.503354538590549e-37,-36.259372508051335,70.9566039646895,0.12337988560234323,12.337988560234322
NGC6015,17.0,29.23,152.0,1.019964e+66,66.00858484345088,2.0620047994201165e-37,-36.685710328209026,99.93566805283481,0.23094599423001821,23.09459942300182
NGC6195,127.8,36.43,246.0,4.592695e+67,67.66206760496175,1e-45,-45.0,58.889461424353456,0.17132901006104634,17.132901006104635
NGC6503,6.26,23.5,115.0,2.167791e+65,65.3360174088986,1.002748170722879e-35,-34.998808121613266,308.9985114306866,0.30529851305860733,30.529851305860735
NGC6674,51.2,72.41,242.0,3.356157e+67,67.52584226879516,1.1116720455730837e-36,-35.95402331509643,201.90314182142077,0.30746627994430314,30.746627994430316
NGC6789,3.52,0.71,60.4,4.656418e+61,61.668051959387775,1.1110445977161357e-33,-32.954268507977865,4.51104082037911,0.34321707920415595,34.3217079204156
NGC6946,5.52,20.4,154.0,2.717306e+66,66.43413854774012,1e-45,-45.0,86.244086663432,0.14880048491376327,14.880048491376327
NGC7331,14.7,36.31,238.0,1.837628e+67,67.2642575995971,1e-45,-45.0,162.12055593765785,0.23007080986830847,23.007080986830847
NGC7793,3.61,7.87,90.8,8.020696e+64,64.9042120560453,1e-45,-45.0,2.541142316771575,0.16789043672886822,16.789043672886823
NGC7814,14.4,19.53,214.0,2.334107e+66,66.36812076106857,2.0269656699210082e-36,-35.693153606753526,80.40301498016457,0.2191639326874947,21.91639326874947
PGC51017,13.6,3.63,18.3,5.100108e+62,62.70757937282488,1e-45,-45.0,3.2444821177053442,0.20330471110663387,20.330471110663385
UGC00128,64.5,53.75,125.0,1.249631e+66,66.0967817903504,5.3107165038285464e-36,-35.27484688142949,507.59751000359427,0.6807219366111542,68.07219366111542
UGC00191,17.1,9.98,83.85,3.889408e+64,64.5898835031512,3.756928692150655e-36,-35.425167047922876,270.56761449450454,0.32599232371995,32.599232371995
UGC00634,30.9,18.01,107.5,1.660802e+65,65.22031785916236,1.8353082449750617e-35,-34.736290984355065,145.81503626256858,0.3702719795367964,37.02719795367964
UGC00731,12.5,10.91,73.9,2.827614e+64,64.45142012326076,1.083290738340643e-35,-34.965254969864446,69.568875273582,0.3608888897575018,36.08888897575018
UGC00891,10.2,7.39,63.75,7.44106e+63,63.8716348064276,5.082331562495947e-35,-34.2939370057427,160.88349744348938,0.5571907991047171,55.71907991047171
UGC01230,53.7,36.54,103.0,7.152372e+65,65.85445009434292,4.560021878903207e-37,-36.34103307359343,13.36842115509384,0.585282726486515,58.5282726486515
UGC01281,5.27,4.99,56.9,2.322637e+63,63.36598134014221,1.443158382178264e-35,-34.84068600381193,14.257603414369566,1.027498446216996,102.74984462169961
UGC02023,10.4,3.78,58.8,8.203043e+63,63.913974988110006,1.9492600308634465e-37,-36.71013022222852,1.0346318648879842,0.16621573673066986,16.621573673066987
UGC02259,10.5,8.14,90.0,2.348775e+64,64.37084141569689,2.99563309884643e-35,-34.52351137952533,62.96729805785317,0.24622340737800677,24.622340737800677
UGC02455,6.92,4.03,61.0,2.717821e+64,64.43422085001524,1e-45,-45.0,94.4638848711791,1.079078406183526,107.9078406183526
UGC02487,69.1,80.38,333.0,1.090002e+68,68.0374272948105,8.507526748829745e-37,-36.07019667674865,187.80141817635842,0.2333092458544812,23.33092458544812
UGC02885,80.6,74.07,298.0,9.742876e+67,67.98868717521137,2.7083311561681866e-38,-37.56729823418796,46.06419140937645,0.20579252530284578,20.579252530284577
UGC02916,65.4,38.0,181.0,9.371544e+66,66.97181114856537,1e-45,-45.0,236.19815377776496,0.15630345515982194,15.630345515982194
UGC02953,16.5,62.39,272.0,1.958168e+67,67.29184994913363,4.2216690234407556e-38,-37.37451581814532,446.0750351584201,0.22404826205810147,22.404826205810146
UGC03205,50.0,40.04,220.0,6.478974e+66,66.81150623713329,7.171488032613737e-37,-36.14439072197476,111.57122768488146,0.26575730397082103,26.575730397082104
UGC03546,28.7,29.23,193.0,4.897174e+66,66.68994553507751,2.8221428912046623e-37,-36.54942100075508,60.874515704308,0.32704538939699823,32.70453893969982
UGC03580,20.7,27.06,124.0,3.46428e+65,65.53961298656141,1e-45,-45.0,312.3796230711853,0.41130971039736614,41.130971039736615
UGC04278,9.51,6.69,92.8,3.569468e+64,64.55260349289618,3.230476507319871e-36,-35.49073341288985,23.322792970890617,0.6042919728876939,60.42919728876939
UGC04305,3.45,5.52,33.0,7.318489e+63,63.86442142440537,1e-45,-45.0,2.340683667928249,0.18935556568660683,18.935556568660683
UGC04325,9.6,5.59,91.5,2.985135e+64,64.47496397648023,1.244261789288302e-35,-34.90508823565639,43.55529018883271,0.2638857617036291,26.38857617036291
UGC04483,3.34,1.21,24.2,2.092234e+61,61.320610255350864,7.248689451990728e-34,-33.13974050587279,4.511617109272099,0.31113568399506186,31.113568399506185
UGC04499,12.5,8.18,74.3,2.704432e+64,64.43207606605317,8.388119755571016e-36,-35.07633537782372,34.53771928899591,0.3409926102955399,34.09926102955399
UGC05005,53.7,28.61,99.1,5.390003e+65,65.73158900690902,7.045587798619123e-38,-37.15208276876501,10.571532904103966,0.39309802524038645,39.309802524038645
UGC05253,22.9,53.29,218.0,1.165379e+67,67.06646718788637,1e-45,-45.0,167.13397047896444,0.1705998452548942,17.05998452548942
UGC05414,9.4,4.11,61.4,6.369559e+63,63.80410936475348,6.714731667121037e-36,-35.17297133784517,19.196349919937973,0.24171773883402292,24.17177388340229
UGC05716,21.3,12.37,74.7,2.472321e+64,64.3931048577914,2.5523512712808166e-35,-34.59305955538951,230.92062056186816,0.36436214968667296,36.436214968667294
UGC05721,6.18,6.74,79.5,3.624865e+63,63.559291836880305,8.959391819689876e-35,-34.047721470060786,25.173020655093914,0.4064638193211954,40.64638193211954
UGC05750,58.7,22.85,78.9,1.779251e+65,65.2502372185874,3.1281709016364436e-38,-37.50470952811534,7.77672317541965,0.5049239171642658,50.492391716426575
UGC05764,7.47,3.62,49.9,6.877527e+62,62.83743230403126,2.458014765557062e-34,-33.60941551258842,79.75173926191903,0.3260493485293475,32.604934852934754
UGC05829,8.64,6.91,68.6,1.387596e+64,64.14226303923832,7.047044255691679e-36,-35.15199300110918,9.692054621705834,0.3805900938242365,38.059009382423646
UGC05918,7.66,4.46,44.5,1.392051e+63,63.143655146634345,5.24488522697501e-35,-34.28026401096648,7.074630549890733,0.31065901701368365,31.065901701368364
UGC05986,8.63,9.41,107.0,4.990058e+64,64.69810559350587,7.241742580068545e-36,-35.140156916973126,129.8307289729602,0.38878599241913775,38.878599241913776
UGC05999,47.7,16.22,100.0,3.519184e+65,65.54644197444973,2.2351237124788428e-36,-35.65069843398172,32.61435797412636,0.3652391129002761,36.52391129002761
UGC06399,18.0,7.85,87.6,2.878335e+64,64.45914133865709,1.1690282404558265e-35,-34.93217499737025,20.04306159401161,0.43066764913574407,43.06676491357441
UGC06446,12.0,10.22,80.1,2.77486e+64,64.44324107655375,1.7961591418977254e-35,-34.74565518694148,21.297457800727464,0.3478935487740793,34.78935487740793
